ga,bmi,p_marg_point,p_marg_lo_bs,p_marg_hi_bs,p_marg_se_bs
10.0,31.8115975966851,0.7553693751389766,0.6905667464493279,0.826595200676021,0.03569360384702716
10.1,31.8115975966851,0.7556335259580693,0.6907379810661323,0.8269488525655211,0.03573908378142052
10.2,31.8115975966851,0.7558938826625915,0.6909062881132688,0.827297899246381,0.03578418527797895
10.3,31.8115975966851,0.7561503943894771,0.6910716246140423,0.8276422872791195,0.03582890632539534
10.4,31.8115975966851,0.7564030102787842,0.6912339477028651,0.8279819631731589,0.03587324486472589
10.5,31.8115975966851,0.7566516794865311,0.6913932146569425,0.8283168733759122,0.0359171987779841
10.6,31.8115975966851,0.7568963511984913,0.6915493829287344,0.8286469642617799,0.03596076587650622
10.7,31.8115975966851,0.7571369746449339,0.6917024101791267,0.8289721821211384,0.03600394388913005
10.8,31.8115975966851,0.757373499116367,0.6918522543112197,0.8292924731493949,0.03604673045023764
10.9,31.8115975966851,0.7576058739802587,0.6919988735046595,0.8296077834361784,0.036089123087709306
11.0,31.8115975966851,0.7578340486987457,0.692142226250405,0.8299180589547861,0.03613111921084855
11.1,31.8115975966851,0.7606992431988469,0.7000307990552687,0.8276421548527968,0.03363059899255298
11.2,31.8115975966851,0.763658627740573,0.7067354512574857,0.8257399458178742,0.031381780081594556
11.3,31.8115975966851,0.7667022082942908,0.71360071832395,0.8242053838164244,0.02938023086727973
11.4,31.8115975966851,0.769820022685358,0.7216972009747488,0.8230304145894979,0.027618503276003802
11.5,31.8115975966851,0.7730021637762204,0.7295614641410694,0.8226114201300171,0.026085890407211605
11.6,31.8115975966851,0.7762388023502919,0.734487548327465,0.8236907509134516,0.024768373837282587
11.7,31.8115975966851,0.7795202095329384,0.7383050738300895,0.8257596028672989,0.023648836463153185
11.8,31.8115975966851,0.7828367785737549,0.7417865642044537,0.8289812677668116,0.02270757487958049
11.9,31.8115975966851,0.7861790458069761,0.7460259557340797,0.8321945406535811,0.02192308233668058
12.0,31.8115975966851,0.7895377106032622,0.750237640622014,0.8336386298626702,0.021273010085449597
12.1,31.8115975966851,0.7929036541261488,0.7544017797463903,0.8348807837213985,0.02073517538807635
12.2,31.8115975966851,0.7962679567099243,0.7584244241559733,0.8367610184081383,0.020288482610858
12.3,31.8115975966851,0.7996219136824498,0.7624021526169444,0.839641182921232,0.019913656392411765
12.4,31.8115975966851,0.8029570494659023,0.7663271495034583,0.8424891968939204,0.019593736315029454
12.5,31.8115975966851,0.8062651298005367,0.7701918375964398,0.8452985615928927,0.01931433153468008
12.6,31.8115975966851,0.8095381719505721,0.7739888828717698,0.8478228229410464,0.019063668583379045
12.7,31.8115975966851,0.8127684527670057,0.7767512061079982,0.8497288688813209,0.018832482408555486
12.8,31.8115975966851,0.8159485144989592,0.7794037720700936,0.8517276780186437,0.01861380278887288
12.9,31.8115975966851,0.8190711682626702,0.7820894497108136,0.8538039936119085,0.01840268134361
13.0,31.8115975966851,0.822129495094881,0.7847951961286925,0.8559424902646628,0.018195893775358202
13.1,31.8115975966851,0.8251168445349546,0.7875081611305776,0.8581359819989004,0.017991641345400374
13.2,31.8115975966851,0.8280268306969587,0.790815586247633,0.8608343149243712,0.017789266689296115
13.3,31.8115975966851,0.8308533258089797,0.794573470179243,0.8634781139568378,0.017588992483696952
13.4,31.8115975966851,0.8335904512117789,0.7983345356364663,0.8660587391514496,0.01739168702216827
13.5,31.8115975966851,0.8362325658223226,0.8020675007911396,0.8685676022899776,0.01719865800969684
13.6,31.8115975966851,0.8387742520795312,0.80569660205363,0.8709962320569007,0.017011474355933007
13.7,31.8115975966851,0.841210299399752,0.810018620612818,0.8733363293252617,0.0168318150093925
13.8,31.8115975966851,0.8435356851776895,0.8141958019578206,0.8755798119045656,0.01666134359605176
13.9,31.8115975966851,0.8457455533752349,0.8173081975353721,0.8777188481951975,0.016501607566546103
14.0,31.8115975966851,0.847835190745322,0.8201507063045571,0.8797458793007037,0.01635396055748733
14.100000000000001,31.8115975966851,0.8498000007410191,0.8227548321149966,0.8816536292653204,0.0162195066419587
14.2,31.8115975966851,0.8516354751616578,0.8251887899652434,0.8834351032228421,0.016099065043968908
14.3,31.8115975966851,0.8533371635878529,0.8274453856233709,0.8850835733579074,0.015993153726999883
14.4,31.8115975966851,0.8549006406560449,0.8295169497820708,0.886592552685266,0.015901990075176908
14.5,31.8115975966851,0.8563214712211129,0.8313245268726372,0.8875693994396622,0.015825506724027265
14.600000000000001,31.8115975966851,0.8575951734525856,0.832695345352887,0.88844671897979,0.01576338052958749
14.7,31.8115975966851,0.858717179906773,0.8339242264406568,0.8894629172092459,0.01571507274688396
14.8,31.8115975966851,0.8596827966137977,0.8350053621202186,0.8904573421397497,0.015679878605793684
14.9,31.8115975966851,0.8604871602157338,0.8359328600729474,0.8914573157147517,0.015656916295036113
15.0,31.8115975966851,0.8611251931904708,0.8367007055977022,0.8922919507973005,0.015645264494594163
15.100000000000001,31.8115975966851,0.8615915571960656,0.8373027213863933,0.8929538708831725,0.015644235437997093
15.2,31.8115975966851,0.861880604573167,0.8377325252262806,0.8934353960983381,0.015653234082354323
15.3,31.8115975966851,0.8619863280496619,0.8377704141711362,0.8937304865063801,0.015671959561716405
15.4,31.8115975966851,0.8619023087029296,0.8376114595729859,0.8938370104640122,0.015700593703252684
15.5,31.8115975966851,0.861621662252456,0.8372139261686022,0.893752849875335,0.01573937493148214
15.600000000000001,31.8115975966851,0.8611396783836088,0.8365761294229318,0.8934772050173483,0.015788418851391012
