p_guarantee,group,t_g,pi_g_at_tg,n_unsolved
0.75,G1,10.0,0.7880863005250259,2
0.75,G2,20.82277457970572,0.7498601718683505,5
0.8,G1,12.125575253305099,0.7998588848851631,10
0.8,G2,25.0,0.7750420285588397,18
0.85,G1,21.918216782617186,0.8499148152261329,69
0.85,G2,25.0,0.7750420285588397,26
0.9,G1,25.0,0.8639939736915254,217
0.9,G2,25.0,0.7750420285588397,26
