model,structure,AIC,BIC,loglik,converged,sigma2_intercept,sigma2_slope,corr_intercept_slope,residual_variance
auxiliary_beta_random_layer,RI,840.8548917414828,875.7608569573277,-413.4274458707414,True,0.17704737238806093,0.0,0.0,0.06958793513673793
auxiliary_beta_random_layer,RI+RS,733.730302329317,778.6094004639749,-357.8651511646585,True,0.18053915189697264,0.0012222543277320738,-0.12241608828704165,0.048359101365223534
