sex,chrom,auc,n,positives
female,13,0.45847511027095145,544,15
female,18,0.5795673076923078,544,24
female,21,0.49275115128773667,544,11
male,13,0.7349127077387947,1082,46
male,18,0.755008020068261,1082,83
male,21,0.8375866414618778,1082,24
