k,设计矩阵列数,AIC,BIC,Beta精度phi,delta_AIC
5,18,-4491.6976097741635,-4396.952847045442,70.24447912000612,21.84753466134407
8,24,-4513.545144435508,-4388.880982950347,72.57896207167471,0.0
10,28,-4508.63859857157,-4364.028171248783,72.7863143437177,4.906545863937936
