ga,bmi,age,ivf,gc,weight,height,pred_y
10.0,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.03112104472397123
10.189873417721518,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.0334634900306325
10.379746835443038,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.0359757017750973
10.569620253164556,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.03866896787186844
10.759493670886076,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.04155516989929395
10.949367088607595,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.04464678953999322
11.139240506329115,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.04785009174151836
11.329113924050633,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.050874822998735775
11.518987341772153,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.05367049275751769
11.708860759493671,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.05620736647208487
11.89873417721519,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.05846349825955826
12.08860759493671,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.0604248434032853
12.278481012658228,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.06208505686958727
12.468354430379748,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.0634450328222065
12.658227848101266,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.06451224499461572
12.848101265822784,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.06529994783108549
13.037974683544304,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.06582629480881591
13.227848101265824,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.0661134244956178
13.417721518987342,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.06618655768452772
13.60759493670886,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.06607314116385188
13.79746835443038,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.06580206590740843
13.987341772151899,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.06540298011201609
14.177215189873419,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.06490571084265132
14.367088607594937,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.06433980224981715
14.556962025316455,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.06373417351061844
14.746835443037975,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.06311689587845935
14.936708860759495,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.06251508553372923
15.126582278481013,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.06195490730921557
15.316455696202532,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.06146168379859831
15.50632911392405,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.06106010462096036
15.69620253164557,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.060768908974251815
15.88607594936709,28.04037814,28.93992606284658,0,0.4006764933197782,83.8948336414048,161.0637707948244,0.06058666200207507
