source,group,optimal_week
简约分段Beta混合,G1,12.023614106315375
简约分段Beta混合,G2,12.034169815161786
q1无交互样条,G1,12.004843256583309
q1无交互样条,G2,12.007444896242058
分位数反演,G1,12.452827121269241
分位数反演,G2,12.45282712126927
含ti交互样条,G1,12.324409549949266
含ti交互样条,G2,12.003480906429024
