cv,chrom,f1,auc
mother_grouped,13,0.0,0.43323055028463
mother_grouped,18,0.0,0.5670359666024406
mother_grouped,21,0.0,0.4919685577580314
row_independent,13,0.0,0.4598355471220747
row_independent,18,0.0,0.5810810810810811
row_independent,21,0.0,0.49357986646122237
