ga,with_interaction,without_interaction
10.0,0.7830469110882046,0.7553693751389766
10.1,0.7833464297263572,0.7556335259580693
10.2,0.7836418631007406,0.7558938826625915
10.3,0.7839331592076086,0.7561503943894771
10.4,0.7842202660188852,0.7564030102787842
10.5,0.7845031314851899,0.7566516794865311
10.6,0.7847817035395556,0.7568963511984913
10.7,0.7850559301019191,0.7571369746449339
10.8,0.7853257590844167,0.757373499116367
10.9,0.7855911383975251,0.7576058739802587
11.0,0.7858520159571466,0.7578340486987457
11.1,0.7854396365045893,0.7606992431988469
11.2,0.7853354164310334,0.763658627740573
11.3,0.7855271155483019,0.7667022082942908
11.4,0.7860017261431296,0.769820022685358
11.5,0.786745565249564,0.7730021637762204
11.6,0.7877443620776136,0.7762388023502919
11.7,0.7889833412199925,0.7795202095329384
11.8,0.7904473021863121,0.7828367785737549
11.9,0.7921206957259272,0.7861790458069761
12.0,0.7939876973020774,0.7895377106032622
12.1,0.7960322779761886,0.7929036541261488
12.2,0.7982382728559777,0.7962679567099243
12.3,0.8005894471586377,0.7996219136824498
12.4,0.8030695598435165,0.8029570494659023
12.5,0.8056624246804012,0.8062651298005367
12.6,0.8083519685417487,0.8095381719505721
12.7,0.8111222866416006,0.8127684527670057
12.8,0.8139576943916796,0.8159485144989592
12.9,0.8168427755067326,0.8190711682626702
13.0,0.8197624259668345,0.822129495094881
13.1,0.8227018934335613,0.8251168445349546
13.2,0.825646811719026,0.8280268306969587
13.3,0.8285832299205466,0.8308533258089797
13.4,0.8314976358576979,0.8335904512117789
13.5,0.8343769734811901,0.8362325658223226
13.6,0.8372086539623617,0.8387742520795312
13.7,0.8399805602164182,0.841210299399752
13.8,0.8426810446598819,0.8435356851776895
13.9,0.8452989200511416,0.8457455533752349
14.0,0.847823443310989,0.847835190745322
14.100000000000001,0.8502442922656157,0.8498000007410191
14.2,0.8525515352968197,0.8516354751616578
14.3,0.8547355939213052,0.8533371635878529
14.4,0.8567871983524785,0.8549006406560449
14.5,0.8586973361229696,0.8563214712211129
14.600000000000001,0.8604571938638907,0.8575951734525856
14.7,0.8620580923473841,0.858717179906773
14.8,0.8634914149025853,0.8596827966137977
14.9,0.8647485293122031,0.8604871602157338
15.0,0.8658207032888066,0.8611251931904708
15.100000000000001,0.8666990136180089,0.8615915571960656
15.2,0.8673742490425684,0.861880604573167
15.3,0.8678368069497733,0.8619863280496619
15.4,0.8680765839182167,0.8619023087029296
15.5,0.8680828601840122,0.861621662252456
15.600000000000001,0.8678478800104196,0.8611396783836088
15.7,0.8673779132233491,0.8604619250668286
15.8,0.866682277167336,0.8595963054702925
15.9,0.8657697604436682,0.8585504564581293
16.0,0.8646487358065168,0.8573318259810305
16.1,0.8633272682608352,0.8559477467985108
16.2,0.8618132182486792,0.8544055063954448
16.3,0.8601143397870331,0.8527124129429727
16.4,0.85823837338899,0.8508758571403994
16.5,0.8561931335653148,0.8489033697623575
16.6,0.853986590669533,0.8468026747263663
16.7,0.8516269468198098,0.8445817374908907
16.8,0.8491227056081596,0.8422488085950106
16.9,0.8464827352943746,0.8398124621580241
17.0,0.8437163251804315,0.8372816291717144
17.1,0.8408332348721771,0.8346656254395942
17.2,0.8378437361597348,0.8319741740459181
17.3,0.8347586472861398,0.8292174222724539
17.4,0.8315893594246897,0.8264059529215334
17.5,0.8283478552480911,0.8235507900489987
17.6,0.8250467195447335,0.8206633991586749
17.7,0.8216991419168737,0.8177556819592425
17.8,0.8183189116791988,0.814839965833068
17.9,0.8149204051609416,0.8119289882128434
18.0,0.8115185656968635,0.8090358761038219
18.1,0.8081288766686189,0.8061741210252946
18.200000000000003,0.804767328024868,0.8033575496732208
18.3,0.8014503767630123,0.800600290625095
18.4,0.7981949018948424,0.7979167374172643
18.5,0.7950181544408521,0.7953215083233162
18.6,0.7919377030015815,0.7928294031491339
18.700000000000003,0.7889713754386944,0.7904553573361573
18.8,0.7861371971627379,0.7882143936290565
18.9,0.7834533264693609,0.786121571518263
19.0,0.7809379872918318,0.7841919346124243
19.1,0.7786093996462392,0.7824404560317252
19.200000000000003,0.776485707938803,0.7808819818418291
19.3,0.77458490718419,0.7795311724711182
19.4,0.77292476705264,0.7784024419734316
19.5,0.7715227535248381,0.7775098949159293
19.6,0.770395947790764,0.7768672605903801
19.700000000000003,0.7695609618861672,0.776487824168273
19.8,0.769033850422754,0.7763843543491578
19.9,0.7688300176411988,0.7765690269911842
20.0,0.7689641189058529,0.7770533441669755
20.1,0.7694450468020689,0.7778438700614088
20.200000000000003,0.7702612049017225,0.7789297260960775
20.3,0.771395415813598,0.7802953230718365
20.4,0.7728299507113292,0.7819246443601906
20.5,0.7745466271739161,0.783801326115071
20.6,0.7765269019477397,0.7859087341111589
20.700000000000003,0.7787519595615512,0.788230037790383
20.8,0.7812027975424628,0.7907482819625661
20.9,0.7838603087936007,0.7934464564699264
21.0,0.7867053615083648,0.7963075639918656
21.1,0.7897188768175876,0.799314686040012
21.200000000000003,0.7928819041987809,0.8024510470766363
21.3,0.7961756945253584,0.8057000765859319
21.4,0.7995817705018506,0.8090454688388224
21.5,0.8030819941215677,0.8124712400206106
21.6,0.8066586306983767,0.8159617823381284
21.700000000000003,0.8102944089652526,0.8195019146894055
21.8,0.813972576699968,0.8230769294650772
21.9,0.8176769513316788,0.8266726350552763
22.0,0.8213919650002222,0.8302753936578655
22.1,0.8251027035798141,0.8338721540213636
22.200000000000003,0.8287949392379973,0.8374504788062332
22.3,0.8324551561748593,0.8409985663090633
