策略,N_rec,AIC,delta_AIC,s1(ga)最大值变化,达标概率最大变化,备注
不纳入GC（主模型）,1082,-4479.437208094234,0.0,0.0,0.0,不做40%-60%硬剔除
GC连续协变量,1082,-4477.525594702215,1.9116133920188076,8.497788349935698e-05,0.0004253793427207997,质量敏感性
