group,n,p_observed,p_model,calibration_type,error
G1,111,0.8468468468468469,0.8297681607036607,BMI组,0.017078686143186195
G2,33,0.9090909090909091,0.809963850699823,BMI组,0.09912705839108604
G3,49,0.8367346938775511,0.7891369911976105,BMI组,0.04759770267994057
G4,34,0.8235294117647058,0.763152915617486,BMI组,0.06037649614721985
G5,40,0.625,0.7206331769898189,BMI组,-0.09563317698981888
11-12,55,0.8545454545454545,0.7968583508281256,孕周带,0.05768710371732888
12-13,111,0.8018018018018018,0.7924236579558555,孕周带,0.009378143845946374
13-15,96,0.8125,0.7971061012909041,孕周带,0.01539389870909591
15-20,3,0.6666666666666666,0.821462645131099,孕周带,-0.15479597846443238
