gc_mode,chrom,coverage,tau,sens,spec,f1,auc
continuous,13,0.8975206611570248,5.5,0.0,0.9905123339658444,0.0,0.43323055028463
continuous,18,0.8975206611570248,5.5,0.0,0.9980732177263969,0.0,0.5670359666024406
continuous,21,0.8975206611570248,3.0,0.0,1.0,0.0,0.4919685577580314
quality_weight,13,0.8975206611570248,5.5,0.0,0.9981024667931688,0.0,0.43323055028463
quality_weight,18,0.8975206611570248,5.5,0.0,0.9980732177263969,0.0,0.5670359666024406
quality_weight,21,0.8975206611570248,3.0,0.0,1.0,0.0,0.4919685577580314
hard_filter,13,0.5768595041322314,5.5,0.0,0.9970238095238095,0.0,0.43223443223443225
hard_filter,18,0.5768595041322314,5.0,0.0,1.0,0.0,0.5597094259390503
hard_filter,21,0.5768595041322314,3.0,0.0,1.0,0.0,0.488824101068999
