mode,chrom,tau,cv_cost,f1,auc,adopted
raw,13,5.5,187.0,0.0,0.43323055028463,False
raw,18,5.5,294.0,0.0,0.5670359666024406,False
raw,21,3.0,132.0,0.0,0.4919685577580314,False
calibrated,13,5.5,181.0,0.0,0.4780597722960152,False
calibrated,18,4.5,294.0,0.0,0.6016377649325626,False
calibrated,21,3.0,132.0,0.0,0.5551948051948052,False
