type,label,n,ga_reference,observed_rate,model_probability,calibration_error
BMI组,G1,61,12.571428571428571,0.8524590163934426,0.8445392623177128,-0.007919754075729757
BMI组,G2,206,12.571428571428571,0.8009708737864077,0.8130622227228738,0.012091348936466018
GA带,11-12周,55,11.571428571428571,0.8545454545454545,0.7705413858917598,-0.0840040686536947
GA带,12-13周,111,12.428571428571429,0.8018018018018018,0.8036773524894978,0.0018755506876959593
GA带,13-15周,96,13.285714285714286,0.8020833333333334,0.8186010242838018,0.0165176909504684
GA带,15-20周,3,16.0,0.6666666666666666,0.8313548418610912,0.16468817519442458
