ga,group,median_bmi,p_marg,ci_low,ci_high
10.0,G1,29.846813955000002,0.8123963081609078,0.7648148788721865,0.8562525997379387
10.1,G1,29.846813955000002,0.8129175906334688,0.7657344959590688,0.8566098557378444
10.2,G1,29.846813955000002,0.81343887310603,0.7666502043032271,0.8569671117377502
10.3,G1,29.846813955000002,0.8139589551013301,0.7675643695687314,0.857322799358858
10.4,G1,29.846813955000002,0.8144782588597571,0.7684785348342358,0.8576774646436827
10.5,G1,29.846813955000002,0.8149972414982243,0.769389988816552,0.8580309984280029
10.6,G1,29.846813955000002,0.815514561302154,0.7702986399682799,0.8583845322123232
10.7,G1,29.846813955000002,0.8160318811060835,0.7712072911200079,0.8587380659966435
10.8,G1,29.846813955000002,0.816547774692524,0.7721143577520674,0.8590915997809637
10.9,G1,29.846813955000002,0.8170631054101168,0.7730175324696236,0.8594451335652841
11.0,G1,29.846813955000002,0.8175778933623946,0.773920608529481,0.8597977067614616
11.1,G1,29.846813955000002,0.8180912299703426,0.7748223513363038,0.8601475119061264
11.2,G1,29.846813955000002,0.8186045665782905,0.7758772386383918,0.8604973170507912
11.3,G1,29.846813955000002,0.8191162492990429,0.7770674074144635,0.8608471221954561
11.4,G1,29.846813955000002,0.8196275868825659,0.77825546102832,0.861196927340121
11.5,G1,29.846813955000002,0.8201381579807177,0.7794372625663536,0.8615467324847859
11.6,G1,29.846813955000002,0.8206474917335485,0.780619064104387,0.8618962521503235
11.7,G1,29.846813955000002,0.821156825486379,0.7817958887998591,0.8622441741520811
11.8,G1,29.846813955000002,0.8216642758964418,0.7829692288066582,0.8625909291095788
11.9,G1,29.846813955000002,0.8221716011208005,0.7841405932144287,0.862937000126585
12.0,G1,29.846813955000002,0.8226779342086294,0.7853080050155766,0.8632830711435913
12.1,G1,29.846813955000002,0.8231832463151888,0.7864727917173694,0.8636291421605974
12.2,G1,29.846813955000002,0.8236884615796659,0.7876311067679657,0.8639751591246272
12.3,G1,29.846813955000002,0.8241917560875032,0.7887713582164315,0.8643193450083767
12.4,G1,29.846813955000002,0.8246950505953407,0.7899057027314317,0.8646635308921261
12.5,G1,29.846813955000002,0.8251971255278123,0.7910377392192819,0.8650076786474422
12.6,G1,29.846813955000002,0.825698398064354,0.7921691675789639,0.8653500109794261
12.7,G1,29.846813955000002,0.8261993497982784,0.7932926197423725,0.8656923433114098
12.8,G1,29.846813955000002,0.8266985960992322,0.7944160607636325,0.8660346756433935
12.9,G1,29.846813955000002,0.8271978424001859,0.7955359197213974,0.8663752991102418
13.0,G1,29.846813955000002,0.8276956400424235,0.7966510108503765,0.8667157447557966
13.1,G1,29.846813955000002,0.828192855951701,0.7977642888249226,0.8670561904013515
13.2,G1,29.846813955000002,0.8286895253083616,0.7988739308013597,0.8673966360469064
13.3,G1,29.846813955000002,0.8291847067779904,0.7999805886400828,0.8677523241102171
13.4,G1,29.846813955000002,0.8296798882476191,0.8010820780630229,0.8681586255186902
13.5,G1,29.846813955000002,0.8301733904734739,0.8021829213967931,0.8685962063878448
13.6,G1,29.846813955000002,0.8306665335635011,0.8032786797740851,0.8690336419274154
13.7,G1,29.846813955000002,0.8311589027044156,0.8043706511237496,0.8694679169445757
13.8,G1,29.846813955000002,0.8316500035827986,0.8054623893139214,0.8699021919617362
13.9,G1,29.846813955000002,0.8321411044611815,0.8065467182192025,0.8703364669788966
14.0,G1,29.846813955000002,0.8326302941513906,0.8076120606784639,0.8707832985092999
14.1,G1,29.846813955000002,0.8331193490938804,0.8082781780994434,0.8712270392207001
14.2,G1,29.846813955000002,0.833607401186829,0.8089422146825724,0.8716731634563192
14.3,G1,29.846813955000002,0.834094406576843,0.8096046166167996,0.8721963843017506
14.4,G1,29.846813955000002,0.8345813206783096,0.8102670185510266,0.8727196051471818
14.5,G1,29.846813955000002,0.8350662730067945,0.8109263839931179,0.8732418289105388
14.6,G1,29.846813955000002,0.8355512253352791,0.811583758122973,0.8737591868587674
14.7,G1,29.846813955000002,0.8360349445519318,0.8122411322528281,0.8742765353481483
14.8,G1,29.846813955000002,0.8365178404172163,0.8128970545194233,0.8747938838375293
14.9,G1,29.846813955000002,0.8370004174518904,0.8135506606238134,0.8753112323269104
15.0,G1,29.846813955000002,0.83748125355953,0.8142042667282032,0.8758236991194552
15.1,G1,29.846813955000002,0.8379620896671697,0.8148556601865812,0.8763351692672691
15.2,G1,29.846813955000002,0.8384414611803215,0.815504181131669,0.8768466394150829
15.3,G1,29.846813955000002,0.8389202343429331,0.8161347564712711,0.8773581095628967
15.4,G1,29.846813955000002,0.8393984597688944,0.8165144704325797,0.8778666811083798
15.5,G1,29.846813955000002,0.8398751669059803,0.8168463588643833,0.8783722684160448
15.6,G1,29.846813955000002,0.8403518740430663,0.8171782472961867,0.878753716621583
15.7,G1,29.846813955000002,0.8408268840234818,0.8175091461177242,0.8791260093372644
15.8,G1,29.846813955000002,0.8413015221612473,0.8178378595425063,0.8794978094073042
15.9,G1,29.846813955000002,0.8417753824335443,0.8181630364014489,0.8798662480576154
16.0,G1,29.846813955000002,0.8422479487047038,0.8184875194753404,0.8802346532963398
16.1,G1,29.846813955000002,0.8427205149758631,0.8188120025492316,0.880603058535064
16.2,G1,29.846813955000002,0.8431911505887443,0.819136485623123,0.8809714637737885
16.3,G1,29.846813955000002,0.8436616422323189,0.8194602625951968,0.8813377330409771
16.4,G1,29.846813955000002,0.8441311247993213,0.8197834407892068,0.8817039247411901
16.5,G1,29.846813955000002,0.8445995391604284,0.8201066189832169,0.882070116441403
