group,sigma_factor,sigma,t_g_sigma,delta_t_sigma,kappa_sigma,pi_g_at_tg,lookup_error
G1,0.0,0.0,12.125575253305099,0.0,0.0,0.7998588848851631,4.824757537935653e-07
G2,0.0,0.0,25.0,0.0,0.0,0.7750420285588397,4.824757537935653e-07
G1,0.5,0.06646776310831942,12.315138849154081,0.1895635958489823,0.017360316855384673,0.7999167198378125,4.7572755845770587e-07
G2,0.5,0.06646776310831942,25.0,0.0,0.0186226348397416,0.7740110225379812,4.7572755845770587e-07
G1,1.0,0.13293552621663884,12.880014381833606,0.7544391285285066,0.034470522308504205,0.8001091153945425,4.5594262165771227e-07
G2,1.0,0.13293552621663884,25.0,0.0,0.03729659394459908,0.7709633096918382,4.5594262165771227e-07
G1,2.0,0.2658710524332777,15.082199794321102,2.9566245410160032,0.06713320871600668,0.8000939256771141,3.9035460541736455e-07
G2,2.0,0.2658710524332777,25.0,0.0,0.07479203504037328,0.7594504435120351,3.9035460541736455e-07
