gate,qprob,q_value,chrom,coverage,accuracy,positive_rate,n_invalid,f1,auc,tau
q5,0.05,-0.032763595799999996,13,0.947107438016529,0.9668411867364747,0.0313588850174216,31,0.0,0.44174174174174174,5.5
q5,0.05,-0.032763595799999996,18,0.947107438016529,0.9406631762652705,0.059233449477351915,31,0.0,0.529685746352413,5.5
q5,0.05,-0.032763595799999996,21,0.947107438016529,0.9790575916230366,0.020905923344947737,31,0.0,0.4903446226975639,3.0
q10,0.1,-0.027153685,13,0.8975206611570248,0.9613259668508287,0.027573529411764705,61,0.0,0.43323055028463,5.5
q10,0.1,-0.027153685,18,0.8975206611570248,0.9539594843462247,0.04411764705882353,61,0.0,0.5670359666024406,5.5
q10,0.1,-0.027153685,21,0.8975206611570248,0.9797421731123389,0.02022058823529412,61,0.0,0.4919685577580314,3.0
q25,0.25,-0.018146753,13,0.7520661157024794,0.978021978021978,0.019823788546255508,151,0.0,0.445440956651719,5.5
q25,0.25,-0.018146753,18,0.7520661157024794,0.967032967032967,0.02643171806167401,151,0.0,0.5759637188208617,5.5
q25,0.25,-0.018146753,21,0.7520661157024794,0.978021978021978,0.022026431718061675,151,0.0,0.5487640449438201,3.0
