boundary,selection_frequency,K,successful_replicates
24.0,0.03,2,100
26.0,0.0,2,100
28.0,0.08,2,100
30.0,0.0,2,100
32.0,0.05,2,100
34.0,0.13,2,100
36.0,0.71,2,100
