w_mode,chrom,coverage,q10,tau,f1,auc
raw,13,0.8975206611570248,-0.027153685,5.5,0.0,0.43323055028463
raw,18,0.8975206611570248,-0.027153685,5.5,0.0,0.5670359666024406
raw,21,0.8975206611570248,-0.027153685,3.0,0.0,0.4919685577580314
truncated,13,1.0,0.0,5.5,0.0,0.4205139698192141
truncated,18,1.0,0.0,5.5,0.0,0.5449949443882709
truncated,21,1.0,0.0,3.0,0.0,0.5097453222453223
