replicate,chrom,q,coverage,tau,f1,auc
0,13,-0.0277243343,0.8985270049099836,5.5,0.0,0.33524699599465957
0,18,-0.0277243343,0.8985270049099836,5.5,0.0,0.530763358778626
0,21,-0.0277243343,0.8985270049099836,3.0,0.0,0.385343228200371
1,13,-0.027897475,0.8954248366013072,5.5,0.0,0.5318323952470294
1,18,-0.027897475,0.8954248366013072,5.5,0.0,0.49570610687022904
1,21,-0.027897475,0.8954248366013072,3.0,0.0,0.5583022388059702
2,13,-0.0290726277,0.8940972222222222,5.0,0.0,0.3786049631120053
2,18,-0.0290726277,0.8940972222222222,5.0,0.0,0.5048247481197673
2,21,-0.0290726277,0.8940972222222222,3.0,0.0,0.3500986193293885
3,13,-0.026191592,0.8984771573604061,5.5,0.0,0.3215034965034965
3,18,-0.026191592,0.8984771573604061,5.5,0.0,0.6318873355263157
3,21,-0.026191592,0.8984771573604061,3.0,0.0,0.3167300380228137
4,13,-0.026823545,0.8941368078175895,3.5,0.08695652173913043,0.5975099393178489
4,18,-0.026823545,0.8941368078175895,5.5,0.0,0.574557778145148
4,21,-0.026823545,0.8941368078175895,3.0,0.0,0.5894248608534323
5,13,-0.026823545,0.8951747088186356,5.5,0.0,0.4723132654821459
5,18,-0.026823545,0.8951747088186356,5.0,0.0,0.5927375516416612
5,21,-0.026823545,0.8951747088186356,3.0,0.0,0.3483992467043314
6,13,-0.0274971127,0.8991735537190083,5.0,0.0,0.38784461152882205
6,18,-0.0274971127,0.8991735537190083,5.5,0.0,0.5725047080979284
6,21,-0.0274971127,0.8991735537190083,3.0,0.0,0.5625
7,13,-0.026404649000000002,0.9009584664536742,3.5,0.0,0.439497827136649
7,18,-0.026404649000000002,0.9009584664536742,5.5,0.0,0.5622300999033194
7,21,-0.026404649000000002,0.9009584664536742,3.0,0.0,0.4666064981949458
8,13,-0.030629869,0.9053156146179402,4.5,0.0,0.34516954574536146
8,18,-0.030629869,0.9053156146179402,5.0,0.0,0.4100877192982456
8,21,-0.030629869,0.9053156146179402,3.0,0.0,0.587163772557031
9,13,-0.0253843143,0.9011345218800648,3.5,0.0,0.4771410967344424
9,18,-0.0253843143,0.9011345218800648,5.5,0.0,0.575187969924812
9,21,-0.0253843143,0.9011345218800648,3.0,0.0,0.39030303030303026
10,13,-0.027362641,0.8990066225165563,5.5,0.0,0.3435506241331484
10,18,-0.027362641,0.8990066225165563,5.5,0.0,0.5722235812133073
10,21,-0.027362641,0.8990066225165563,3.0,0.0,0.4436597614563716
11,13,-0.0266287737,0.8966666666666666,5.5,0.0,0.5250626566416039
11,18,-0.0266287737,0.8966666666666666,5.0,0.0,0.5574400231934478
11,21,-0.0266287737,0.8966666666666666,3.0,0.0,0.3859649122807018
12,13,-0.026564639,0.9042904290429042,5.5,0.0,0.39926375485026366
12,18,-0.026564639,0.9042904290429042,5.5,0.0,0.5565525645286363
12,21,-0.026564639,0.9042904290429042,3.0,0.0,0.5919949968730458
13,13,-0.026191592,0.8958333333333334,5.5,0.0,0.3892529488859764
13,18,-0.026191592,0.8958333333333334,5.5,0.0,0.5524801083460301
13,21,-0.026191592,0.8958333333333334,3.0,0.0,0.44424019607843135
14,13,-0.024775991,0.8934010152284264,5.5,0.0,0.39389978213507626
14,18,-0.024775991,0.8934010152284264,5.5,0.0,0.6493256262042388
14,21,-0.024775991,0.8934010152284264,3.0,0.0,0.5269943593875906
15,13,-0.026887723,0.8998357963875205,5.5,0.0,0.5145330859616575
15,18,-0.026887723,0.8998357963875205,5.5,0.0,0.5825267888005531
15,21,-0.026887723,0.8998357963875205,3.0,0.0,0.3840148698884759
16,13,-0.027175552999999998,0.8980263157894737,5.5,0.0,0.6951672862453532
16,18,-0.027175552999999998,0.8980263157894737,5.5,0.0,0.5410730698529411
16,21,-0.027175552999999998,0.8980263157894737,3.0,0.0,0.457089552238806
17,13,-0.0285348484,0.8957264957264958,5.5,0.0,0.4520833333333333
17,18,-0.0285348484,0.8957264957264958,5.5,0.0,0.5252736175115207
17,21,-0.0285348484,0.8957264957264958,3.0,0.0,0.5546875
18,13,-0.028723326,0.8944723618090452,5.5,0.0,0.5720284237726099
18,18,-0.028723326,0.8944723618090452,5.5,0.0,0.5918202191235059
18,21,-0.028723326,0.8944723618090452,3.0,0.0,0.5514520202020202
19,13,-0.0280326908,0.899505766062603,3.5,0.12903225806451613,0.4876479289940828
19,18,-0.0280326908,0.899505766062603,5.5,0.0,0.5713824289405685
19,21,-0.0280326908,0.899505766062603,3.0,0.0,0.5305238851205081
20,13,-0.029490561,0.9001663893510815,5.5,0.0,0.49511657214870824
20,18,-0.029490561,0.9001663893510815,5.5,0.0,0.5686888454011741
20,21,-0.029490561,0.9001663893510815,3.0,0.0,0.6950757575757576
21,13,-0.026855725,0.8993174061433447,3.5,0.0,0.4593851132686085
21,18,-0.026855725,0.8993174061433447,5.0,0.0,0.6435590357746046
21,21,-0.026855725,0.8993174061433447,3.0,0.0,0.556201550387597
22,13,-0.0267816114,0.8933764135702746,5.5,0.0,0.4456521739130435
22,18,-0.0267816114,0.8933764135702746,5.5,0.0,0.5916450376962057
22,21,-0.0267816114,0.8933764135702746,3.0,0.0,0.48252788104089217
23,13,-0.028808592,0.8950930626057529,5.5,0.0,0.5758160758160757
23,18,-0.028808592,0.8950930626057529,5.0,0.0,0.5434482758620689
23,21,-0.028808592,0.8950930626057529,3.0,0.0,0.5988483685220729
24,13,-0.027159138,0.9030206677265501,3.5,0.07142857142857142,0.4469400191520849
24,18,-0.027159138,0.9030206677265501,5.5,0.0,0.5838969216417911
24,21,-0.027159138,0.9030206677265501,3.0,0.0,0.40151063406877363
