BMI,孕周,P_marg,P_cond,delta_P_cond_minus_marg
30.208805577903597,12.0,0.7917567436079835,0.8807834034499417,0.08902665984195812
30.208805577903597,16.0,0.8557833883750072,0.9358163532637555,0.08003296488874823
30.208805577903597,20.0,0.7809500437988344,0.853520844484249,0.07257080068541466
30.208805577903597,24.0,0.8988740448685237,0.9768432410592439,0.07796919619072018
31.8115975966851,12.0,0.7839614586527601,0.8716433972214201,0.08768193856866002
31.8115975966851,16.0,0.8625645310414924,0.9419302771802364,0.07936574613874392
31.8115975966851,20.0,0.7734208940951021,0.8442285536490831,0.07080765955398105
31.8115975966851,24.0,0.890350891046133,0.9714692937242924,0.0811184026781594
33.92623703353835,12.0,0.7287138993523916,0.8018376438464808,0.0731237444940892
33.92623703353835,16.0,0.8316372683012865,0.91221753632847,0.08058026802718354
33.92623703353835,20.0,0.7399265911658361,0.8013400778661668,0.061413486700330644
33.92623703353835,24.0,0.8710205554133396,0.9572638162320961,0.08624326081875655
