model,structure,AIC,BIC,loglik,converged,sigma2_intercept,sigma2_slope
primary_binomial,RI,709.4173061272523,739.3367048836909,-348.7086530636262,True,7.116993952145298,0.0
primary_binomial,RI+RS,707.0576945332621,746.9502262085135,-345.52884726663103,True,7.07364002525867,0.04375717736195231
