参数,估计值,95%CI下限,95%CI上限,标准误,备注
random intercept variance,0.18738157926884957,0.0,0.3953281068006704,0.10609516710807183,Wald approximation
random slope variance,0.0014031513654763337,0.0,0.016165597128432678,0.007531860083140991,Wald approximation
intercept-slope covariance,-0.0004346787944071245,-0.0026835120695569443,0.0018141544807426955,0.0011473639158927653,Wald approximation
residual variance (logit scale),0.044116357907643976,0.04035153553388503,0.047881180281402924,0.0019208277417137487,REML approximation
ICC at mean GA,0.8094308811313089,0.0,0.9073825544896601,,delta-bound approximation
