model,group,t_g,pi_g_at_tg
auxiliary_beta,G1,12.125575253305099,0.7998588848851631
auxiliary_beta,G2,25.0,0.7750420285588397
primary_binomial,G1,11.401113910702447,0.7999801795647608
primary_binomial,G2,21.215829973551013,0.79972109950623
