sex,chrom,fpr,tpr,threshold
female,13,0.001890359168241966,0.0,7.194432708
female,13,0.011342155009451797,0.0,4.229229618
female,13,0.011342155009451797,0.06666666666666667,3.808298807
female,13,0.07939508506616257,0.06666666666666667,2.264992539
female,13,0.07939508506616257,0.13333333333333333,2.254662676
female,13,0.22684310018903592,0.13333333333333333,1.395206929
female,13,0.22684310018903592,0.2,1.378729437
female,13,0.28733459357277885,0.2,1.157933457
female,13,0.28733459357277885,0.26666666666666666,1.156276797
female,13,0.3572778827977316,0.26666666666666666,0.886979759
female,13,0.3572778827977316,0.3333333333333333,0.885730833
female,13,0.45746691871455575,0.3333333333333333,0.533925424
female,13,0.45746691871455575,0.4,0.527836614
female,13,0.4820415879017013,0.4,0.438892786
female,13,0.4820415879017013,0.4666666666666667,0.438695455
female,13,0.5671077504725898,0.4666666666666667,0.10939911
female,13,0.5671077504725898,0.5333333333333333,0.093023117
female,13,0.7051039697542533,0.5333333333333333,-0.305404032
female,13,0.7051039697542533,0.6,-0.306403526
female,13,0.7126654064272212,0.6,-0.317867567
female,13,0.7126654064272212,0.6666666666666666,-0.31937741
female,13,0.7693761814744802,0.6666666666666666,-0.477157823
female,13,0.7693761814744802,0.7333333333333333,-0.481543913
female,13,0.7977315689981096,0.7333333333333333,-0.585181104
female,13,0.7977315689981096,0.8,-0.58776814
female,13,0.8676748582230623,0.8,-0.902170078
female,13,0.8676748582230623,0.8666666666666667,-0.908729245
female,13,0.8922495274102079,0.8666666666666667,-1.110132782
female,13,0.8922495274102079,0.9333333333333333,-1.111978948
female,13,0.9092627599243857,0.9333333333333333,-1.199232019
female,13,0.9092627599243857,1.0,-1.218935136
female,13,1.0,1.0,-3.143221872
female,18,0.0019230769230769232,0.0,5.380943783
female,18,0.09423076923076923,0.0,2.675538903
female,18,0.09423076923076923,0.041666666666666664,2.629759543
female,18,0.10961538461538461,0.041666666666666664,2.402996718
female,18,0.10961538461538461,0.08333333333333333,2.372702068
female,18,0.125,0.08333333333333333,2.325562354
female,18,0.125,0.125,2.322745629
female,18,0.12692307692307692,0.125,2.314128102
female,18,0.12692307692307692,0.16666666666666666,2.257662837
female,18,0.2519230769230769,0.16666666666666666,1.643159746
female,18,0.2519230769230769,0.20833333333333334,1.64028642
female,18,0.26153846153846155,0.20833333333333334,1.62131721
female,18,0.26153846153846155,0.25,1.614571897
female,18,0.2846153846153846,0.25,1.502301513
female,18,0.2846153846153846,0.2916666666666667,1.474465001
female,18,0.28846153846153844,0.2916666666666667,1.467706575
female,18,0.28846153846153844,0.3333333333333333,1.466556263
female,18,0.34615384615384615,0.3333333333333333,1.199172368
female,18,0.34615384615384615,0.375,1.197826743
female,18,0.3730769230769231,0.375,1.10208009
female,18,0.3730769230769231,0.4166666666666667,1.096894629
female,18,0.38269230769230766,0.4166666666666667,1.060138704
female,18,0.38269230769230766,0.4583333333333333,1.052787551
female,18,0.38653846153846155,0.4583333333333333,1.049509174
female,18,0.38653846153846155,0.5,1.045420962
female,18,0.3942307692307692,0.5,1.019609081
female,18,0.3942307692307692,0.5416666666666666,1.007135217
female,18,0.4307692307692308,0.5416666666666666,0.921652388
female,18,0.4307692307692308,0.5833333333333334,0.92071339
female,18,0.45384615384615384,0.5833333333333334,0.847780556
female,18,0.45384615384615384,0.625,0.845875677
female,18,0.4846153846153846,0.625,0.757490892
female,18,0.4846153846153846,0.6666666666666666,0.750698963
female,18,0.5153846153846153,0.6666666666666666,0.679597799
female,18,0.5153846153846153,0.7083333333333334,0.676118068
female,18,0.5538461538461539,0.7083333333333334,0.546325632
female,18,0.5538461538461539,0.75,0.540506373
female,18,0.5557692307692308,0.75,0.537065484
female,18,0.5557692307692308,0.8333333333333334,0.518138803
female,18,0.6788461538461539,0.8333333333333334,0.162698487
female,18,0.6788461538461539,0.875,0.160368042
female,18,0.7384615384615385,0.875,-0.016462276
female,18,0.7384615384615385,0.9166666666666666,-0.018439587
female,18,0.7807692307692308,0.9166666666666666,-0.199311805
female,18,0.7807692307692308,0.9583333333333334,-0.201705919
