协变量形态,AIC,BIC,备注,delta_AIC
bmi,1478.656476825828,1568.4146730951436,fixed-effect comparison,0.0
weight,1504.8917205345508,1569.7170845068345,fixed-effect comparison,26.23524370872292
height_weight,1504.272308146265,1574.084238577955,fixed-effect comparison,25.61583132043711
