变量,VIF,处理
bmi,219.78677826379507,共线性较高，不同时进入主模型
weight,353.03791808422704,共线性较高，不同时进入主模型
height,107.34242640925673,共线性较高，不同时进入主模型
age,1.068034745335286,保留候选
parity_ac,1.6701660735168902,保留候选
parity_ad,1.6314833773639412,保留候选
