模型,分布族,AIC,BIC,RMSE,MAE,备注,delta_AIC
"Beta spline (main, no interaction)",beta,-4491.6976097741635,-4396.952847045442,0.07775634122639878,0.03239428500037899,主模型；交互经LR检验未获支持,0.0
Beta spline + interaction,beta,-4479.437208090176,-4339.8133472267955,0.08167985124461326,0.03303438846684428,预设交互模型，仅描述与敏感性,12.260401683987766
Beta piecewise GA baseline,beta,-4450.530940404544,-4410.638408729293,0.03281073448757159,0.026326108810288643,结点12.5/20周,41.16666936961974
Beta linear baseline,beta,-4431.030967655059,-4401.11156889862,0.03309700167676273,0.026649877973280757,GA+BMI+年龄+IVF,60.666642119104836
Logit-Gaussian spline baseline,logit,1478.6564768258281,1568.4146730951438,0.08021077323593577,0.03282038917139975,AIC不可与Beta跨分布直接比较,
