term,estimate,std_error,p_value
const,-2.6389505606615646,0.776283200740331,0.0006751686973085583
ga,0.12545898765886507,0.06209566245305492,0.04334039251423725
hinge_12_5,-0.1379987566590234,0.06470627696864956,0.032949750165008534
hinge_20,0.07370123626486899,0.015448138053234473,1.8342141738522647e-06
bmi,-0.031175935684344503,0.004470450049447041,3.0853618206231155e-12
age,-0.013729794256867487,0.0037602967116377225,0.00026096411077942353
ivf,-0.2803624304527372,0.17630265335062248,0.11178212448821111
