K,bootstrap_mean_loss,bootstrap_se,valid_rate,successful_replicates,one_se_threshold,selected,full_data_loss,boundaries,times
1,8.276811113796063,0.3708093444487374,1.0,300,0.8857157384070864,False,8.32971928942063,,18.6
2,3.4770095076819083,0.1933269310650645,1.0,300,0.8857157384070864,False,3.568046506386432,32.0,10.7|23.2
3,1.6490981825246744,0.11367769151599258,1.0,300,0.8857157384070864,False,1.6980919131359742,31.5|34.0,10.1|16.3|25.0
4,1.0971135334137518,0.07822798900369964,1.0,300,0.8857157384070864,False,1.1459514847864318,31.5|33.0|35.0,10.1|14.9|19.0|25.0
5,0.8253620712001133,0.06035366720697306,1.0,300,0.8857157384070864,True,0.8375492857533343,31.0|32.0|33.5|35.0,10.0|12.4|16.1|19.3|25.0
