replicate,K,mean_loss,boundaries,times,valid_time_separation
15,5,0.7920834165104071,31.0|32.0|33.5|35.5,10.0|12.4|16.0|20.5|25.0,True
16,1,8.763652884217503,,19.3,True
16,2,3.307384890796869,33.0,12.9|25.0,True
16,3,1.7518363228481906,31.5|34.0,10.0|16.2|25.0,True
16,4,1.0249369675296431,31.0|33.0|35.0,10.0|14.1|19.1|25.0,True
16,5,0.7844651502926586,31.0|32.5|34.0|35.5,10.0|13.6|17.3|21.1|25.0,True
17,1,9.102725708034768,,20.1,True
17,2,3.2818449936886886,32.5,11.3|25.0,True
17,3,1.6294805042508822,31.5|34.0,10.1|15.6|25.0,True
17,4,1.067810501538604,31.5|33.0|35.0,10.1|14.9|19.2|25.0,True
17,5,0.8248646497852354,31.0|32.0|33.0|35.0,10.0|12.6|15.2|19.2|25.0,True
18,1,8.605738097955571,,19.7,True
18,2,3.53798614267022,32.5,11.8|24.7,True
18,3,1.736274381345632,31.5|34.5,10.1|17.4|25.0,True
18,4,1.168112703814916,31.5|33.5|35.0,10.1|15.5|19.7|25.0,True
18,5,0.8819923936898274,31.0|32.5|34.0|35.5,10.0|13.3|17.1|21.1|25.0,True
19,1,8.069755202504975,,19.1,True
19,2,3.4992072423910696,32.5,12.1|23.2,True
19,3,1.775405412591313,31.5|34.0,10.0|16.0|24.7,True
19,4,1.1568331172286013,31.5|33.0|35.0,10.0|14.9|19.3|25.0,True
19,5,0.8103473118301909,31.0|32.5|33.5|35.0,10.0|13.1|16.2|19.7|25.0,True
20,1,7.798662498309977,,17.3,True
20,2,3.7043713912258096,33.0,13.2|25.0,True
20,3,1.645749836982883,31.5|34.0,10.0|16.3|25.0,True
20,4,1.0725848019408193,31.0|33.0|35.0,10.0|14.7|18.8|25.0,True
20,5,0.7856040868229034,31.0|32.0|33.0|35.0,10.0|12.5|15.2|18.8|25.0,True
21,1,8.340669996933654,,19.3,True
21,2,3.8145358045703586,33.5,14.7|25.0,True
21,3,1.689103440781013,31.5|34.0,10.0|16.2|25.0,True
21,4,1.0854586601217153,31.5|33.5|35.0,10.0|16.0|19.3|25.0,True
