form,AIC,BIC,CV_RMSE,CV_RMSE_SE,VIF_max,n_parameters,one_se_threshold,chosen_by_1se
bmi,-4442.6750251816775,-4412.755626425239,0.03296506353698114,0.0009241376508965895,1.0181155070356636,6,0.03382215978674657,False
weight,-4449.077325865761,-4419.157927109322,0.03286919438870135,0.000952965398045216,1.0184249850636633,6,0.03382215978674657,True
height_weight,-4449.789804860414,-4414.883839644569,0.03304505360156964,0.0009291457889648563,1.6256748172084179,7,0.03382215978674657,False
all,-4452.301596782492,-4412.409065107241,0.03332599261775583,0.0008926246378772299,396.8498427982601,8,0.03382215978674657,False
