ga,bmi,p_quantile,p_marg,abs_diff
12.0,30.208805577903597,0.836367257466072,0.7917942316549539,0.044573025811118105
16.0,30.208805577903597,0.8894497597169219,0.8592014892234149,0.03024827049350698
20.0,30.208805577903597,0.8894497597169219,0.7794318354202497,0.11001792429667212
24.0,30.208805577903597,0.93911681270272,0.8897960584628529,0.04932075423986704
12.0,31.8115975966851,0.836367257466072,0.7895377106032622,0.04682954686280982
16.0,31.8115975966851,0.8894497597169219,0.8573318259810305,0.032117933735891335
20.0,31.8115975966851,0.8894497597169219,0.7770533441669755,0.1123964155499464
24.0,31.8115975966851,0.93911681270272,0.8883436349370506,0.050773177765669364
12.0,33.92623703353835,0.836367257466072,0.7528266573881794,0.08354060007789255
16.0,33.92623703353835,0.8894497597169219,0.8262811846420764,0.06316857507484541
20.0,33.92623703353835,0.8894497597169219,0.7384498542880908,0.15099990542883102
24.0,33.92623703353835,0.93911681270272,0.8640688396085372,0.07504797309418276
