样本集,N_rec,AIC,delta_AIC,P_ok最大差异
保留全部解析成功记录,1082,-4479.437208094234,0.0,0.0
仅日期交叉核验差异<=1周,938,-3907.477624766689,571.9595833275448,0.02519021643718722
