term,estimate,std_error,p_value
const,-1.3101782229872683,0.19009006964443506,5.485595943794787e-12
ga,0.012470634029907569,0.0033054528127377477,0.00016146061046831198
bmi,-0.030665907985101187,0.004505119518858717,9.972266934295137e-12
age,-0.013697872401713143,0.0037802117068564613,0.00029056134700231994
ivf,-0.2641115742718164,0.17851108612396238,0.13900011524667402
