关键假设,扰动/对照,比较指标,主结果,敏感性结果,结论
4,AE交叉标签清洗,阳性数,67,0,AE全为健康，禁止作为金标准
5,X浓度负值截断,覆盖率,0.8975206611570248,1.0,截断破坏门界信息
6,q5/q10/q25门界,覆盖率范围,0.8975206611570248,0.752-0.947,存在覆盖率-性能权衡
7,取消门控,无法判定比例,0.10247933884297522,0.0,取消门控提高覆盖但纳入低可靠记录
8,女胎/男胎Z对照,宏平均AUC,0.5102645230836653,0.7758357897563112,女胎必须单独定标
9,lambda=1/2/3/5,tau范围,"[5.5, 5.5, 3.0]",3.0-5.5,阈值依赖代价权重
11,三种孕妇合并,F1范围,0.0,0.000-0.000,多数票与保守规则差异显著；max-risk与任一阳性等价
13,GC连续/权重/硬剔除,覆盖率范围,0.8975206611570248,0.577-0.898,硬剔除损失样本
