level,chrom,rule,TP,FN,FP,TN,sens,spec,ppv,npv,f1,coverage,auc,tau,tau_min,tau_max,cv_cost,q,replicate
record,21,na,0,8,0,507,0.0,1.0,0.0,0.9844660194174757,0.0,0.8940972222222222,0.3500986193293885,3.0,3.0,3.0,96.0,-0.0290726277,2
pregnant,21,conservative,0,11,0,136,0.0,1.0,0.0,0.9251700680272109,0.0,1.0,0.29612299465240643,3.0,3.0,3.0,96.0,-0.0290726277,2
pregnant,21,majority,0,11,0,136,0.0,1.0,0.0,0.9251700680272109,0.0,1.0,0.29612299465240643,3.0,3.0,3.0,96.0,-0.0290726277,2
pregnant,21,max_risk,0,11,0,136,0.0,1.0,0.0,0.9251700680272109,0.0,1.0,0.29612299465240643,3.0,3.0,3.0,96.0,-0.0290726277,2
record,13,na,0,11,2,518,0.0,0.9961538461538462,0.0,0.9792060491493384,0.0,0.8984771573604061,0.3215034965034965,5.5,4.5,5.5,132.0,-0.026191592,3
pregnant,13,conservative,0,15,1,131,0.0,0.9924242424242424,0.0,0.8972602739726028,0.0,1.0,0.5565656565656565,5.5,4.5,5.5,132.0,-0.026191592,3
pregnant,13,majority,0,15,0,132,0.0,1.0,0.0,0.8979591836734694,0.0,1.0,0.5565656565656565,5.5,4.5,5.5,132.0,-0.026191592,3
pregnant,13,max_risk,0,15,1,131,0.0,0.9924242424242424,0.0,0.8972602739726028,0.0,1.0,0.5565656565656565,5.5,4.5,5.5,132.0,-0.026191592,3
record,18,na,0,19,0,512,0.0,1.0,0.0,0.9642184557438794,0.0,0.8984771573604061,0.6318873355263157,5.5,5.5,5.5,222.0,-0.026191592,3
pregnant,18,conservative,0,26,0,121,0.0,1.0,0.0,0.8231292517006803,0.0,1.0,0.5953591862682772,5.5,5.5,5.5,222.0,-0.026191592,3
pregnant,18,majority,0,26,0,121,0.0,1.0,0.0,0.8231292517006803,0.0,1.0,0.5953591862682772,5.5,5.5,5.5,222.0,-0.026191592,3
pregnant,18,max_risk,0,26,0,121,0.0,1.0,0.0,0.8231292517006803,0.0,1.0,0.5953591862682772,5.5,5.5,5.5,222.0,-0.026191592,3
