ga,without_gc,with_gc
10.0,0.7159691191544514,0.861068769711269
10.1,0.7204708280581017,0.8605728527169612
10.2,0.7249599501242284,0.860075732937187
10.3,0.7294350957199895,0.8595774099484386
10.4,0.7338948697174389,0.8590778833382411
10.5,0.7383378732809074,0.8585771527051826
10.6,0.7427627057060979,0.8580752176589483
10.7,0.7471679663070292,0.8575720778203562
10.8,0.7515522563466243,0.8570677328213833
10.9,0.7559141810064116,0.8565621823052008
11.0,0.7602523513904857,0.8560554259262101
11.1,0.7645722245198918,0.8557323298337092
11.2,0.7688773211707112,0.8557676971129964
11.3,0.7731634081983518,0.8561450876832378
11.4,0.7774263320758676,0.8568464800798599
11.5,0.7816620274250339,0.8578525274218507
11.6,0.7858665252300638,0.8591428021137112
11.7,0.7900359606802696,0.8606960291506829
11.8,0.7941665805899341,0.8624903079399526
11.9,0.7982547503462536,0.8645033225275959
12.0,0.8022969603391799,0.8667125400547568
12.1,0.8062898318305103,0.8690953971782871
12.2,0.81023012222343,0.8716294740984789
12.3,0.814114729697998,0.8742926557542288
12.4,0.8179406971826358,0.8770632796851388
12.5,0.8217052156365227,0.8799202700286748
12.6,0.8254056266228393,0.8828432571233931
12.7,0.829039424157993,0.8858126822282155
12.8,0.83260425582718,0.8888098869422131
12.9,0.836097923161924,0.8918171870160743
13.0,0.8395183812803939,0.894817930380591
13.1,0.8428637377963815,0.8977965393724459
13.2,0.8461322510076787,0.9007385373059555
13.3,0.8493223273792256,0.9036305597129995
13.4,0.8524325183407095,0.9064603507439908
13.5,0.8554615164222577,0.9092167453824599
13.6,0.858408150755434,0.9118896382673473
13.7,0.8612713819698788,0.9144699400341334
13.8,0.8640502965185963,0.9169495221733428
13.9,0.866744100467072,0.9193211514588315
14.0,0.8693521127830904,0.9215784150162939
14.100000000000001,0.8718737581652831,0.9237156370832932
14.2,0.874308559449101,0.9257277884561042
14.3,0.8766561296290902,0.9276103895267676
14.4,0.8789161635359798,0.9293594076881345
14.5,0.8810884292063601,0.9309711497278982
14.600000000000001,0.8831727589814513,0.9324421496477117
14.7,0.8851690403698576,0.9337690521336822
14.8,0.8870772067071782,0.9349484916728713
14.9,0.8888972276430092,0.9359769670598371
15.0,0.8906290994832422,0.9368507107703018
15.100000000000001,0.8922728354126752,0.9375655523978439
15.2,0.8938284556198834,0.9381167750560542
15.3,0.8952959773430569,0.9384989633444107
15.4,0.8966754048521737,0.9387058411631053
15.5,0.8979667193794743,0.9387300973423677
15.600000000000001,0.8991707287079638,0.9385661146494368
15.7,0.9002915865327281,0.9382186234942066
15.8,0.9013341279457365,0.9376941011416605
15.9,0.9023030111933847,0.9369980447203577
16.0,0.9032027321727276,0.9361351435096597
16.1,0.9040376382352102,0.93510944009441
16.2,0.9048119412744797,0.9339244823714568
16.3,0.9055297300787278,0.9325834680580791
16.4,0.9061949819311419,0.9310893830255544
16.5,0.9068115734445608,0.9294451344635697
16.6,0.9073832906184516,0.9276536795745851
16.7,0.907913838107972,0.9257181502034144
16.8,0.9084068476962435,0.9236419735283621
16.9,0.9088658859621379,0.9214289886789054
17.0,0.9092944611369342,0.9190835589042519
17.1,0.9096960291442233,0.9166106787006774
17.2,0.9100739988184563,0.9140160751171063
17.3,0.9104317362986333,0.911306302301678
17.4,0.9107725685948203,0.9084888282306567
17.5,0.9110997863265241,0.9055721124778635
17.6,0.9114166456334611,0.9025656738402211
17.7,0.9117263692609494,0.8994801466339506
17.8,0.9120321468240622,0.896327324516387
17.9,0.9123371342567781,0.893120190768526
18.0,0.9126444524547174,0.8898729340900997
18.1,0.9129571851225877,0.886600949107328
18.200000000000003,0.9132783758402347,0.8833208209670562
18.3,0.9136110243641787,0.8800502935822873
18.4,0.9139580821846875,0.8768082212941855
18.5,0.9143224473618128,0.8736145039152481
18.6,0.9147069586673688,0.870490005307776
18.700000000000003,0.9151143890635554,0.8674564558217124
18.8,0.9155474385528015,0.8645363390576326
18.9,0.916008726437433,0.8617527635270001
19.0,0.9165007830319185,0.8591293198469984
19.1,0.9170260408747257,0.8566899241282684
19.200000000000003,0.9175868254912158,0.8544586481898158
19.3,0.9181853457634692,0.8524595371687929
19.4,0.9188236839675306,0.8507164149892495
19.5,0.9195037855432024,0.8492526780225156
19.6,0.9202274486662222,0.8480910771251015
19.700000000000003,0.9209963136974361,0.8472534880943949
19.8,0.9218118525883523,0.8467606704577512
19.9,0.9226753583272707,0.8466320144304054
20.0,0.9235879345149411,0.8468852758687802
20.1,0.9245498107483955,0.8475309641412535
20.200000000000003,0.9255583739136819,0.8485562423984218
20.3,0.9266103045993527,0.849941222564977
20.4,0.9277022790263267,0.8516645675107319
20.5,0.9288309811118332,0.8537037293698128
20.6,0.929993114020921,0.8560351802734973
20.700000000000003,0.9311854111727462,0.8586346358400225
20.8,0.9324046466720368,0.8614772716027734
20.9,0.9336476451394466,0.8645379323495324
21.0,0.9349112909179285,0.8677913341132271
21.1,0.9361925366358437,0.8712122583193277
21.200000000000003,0.9374884111111363,0.8747757373749706
21.3,0.9387960265846634,0.8784572307949763
21.4,0.9401125852745282,0.8822327908125223
21.5,0.941435385247077,0.8860792163261761
21.6,0.9427618256040131,0.8899741939963086
21.700000000000003,0.944089410988829,0.8938964253250845
21.8,0.9454157554194527,0.8978257386348767
21.9,0.9467385854575644,0.9017431849967683
22.0,0.9480557427284886,0.9056311173476475
22.1,0.9493651858088191,0.909473252263238
22.200000000000003,0.9506649915020179,0.9132547141151045
22.3,0.9519533555250508,0.9169620616211303
22.4,0.9532285926317277,0.9205832970892691
22.5,0.9544891362007238,0.9241078589416827
22.6,0.9557335373183045,0.9275265983792917
22.700000000000003,0.9569604633874927,0.9308317412949445
22.8,0.9581686962968656,0.9340168367580247
22.9,0.9593571301832649,0.937076693567304
23.0,0.960524768823515,0.940007306497201
23.1,0.9616707226907393,0.9428057739425484
23.200000000000003,0.9627942057110549,0.9454702086976139
23.3,0.9638945317563327,0.9479996435878852
23.4,0.9649711109083386,0.9503939336108826
23.5,0.9660234455289382,0.952653656139506
23.6,0.9670511261701848,0.9547800106037203
23.700000000000003,0.9680538273570174,0.9567747188999091
23.8,0.9690313032740167,0.9586399275886096
23.9,0.9699833833862144,0.9603781127370511
24.0,0.9709099680223493,0.9619919880491334
24.1,0.971811023947244,0.9634844167076331
24.200000000000003,0.9726865799481579,0.9648583271361411
24.3,0.9735367224580821,0.9661166326751052
24.4,0.9743615912369996,0.9672621549597138
24.5,0.9751613751301688,0.96829755058856
24.6,0.9759365972037574,0.9692269537975455
24.700000000000003,0.9766889100146185,0.9700607413928584
24.8,0.9774201100374978,0.970809901053401
24.9,0.978131839900159,0.9714843976071481
25.0,0.9788255969561517,0.9720933201657415
