样本集,N_rec,AIC,delta_AIC,10-25周内P_ok最大差异,备注
全部记录,1082,-4491.6976097741635,0.0,0.0,超窗仅用于敏感性，不作外推结论
仅10-25周,1069,-4442.6415991945305,49.05601057963304,0.047356954860384826,主推断窗口
