group,bmi_low,bmi_high,n,median_bmi,t_p0.80_median,ci_low,ci_high,t_star,distinct_required,delta_t_sigma_tech,n_unsolved
G1,20.703125,31.0,111,29.846813955000002,10.0,10.0,14.209999999999999,10.0,True,0.6000000000000014,0
G2,31.0,32.0,33,31.511524091641498,12.4,10.0,15.51,12.4,True,1.0,0
G3,32.0,33.5,49,32.8125,16.1,10.0,18.357499999999998,16.1,True,1.0,0
G4,33.5,35.0,34,34.2067440407899,19.3,10.475,24.287499999999998,19.3,True,1.0,0
G5,35.0,46.875,40,36.74180427,25.0,18.4375,25.0,25.0,True,0.0,17
